Question utilisateur
"Bonjour, je n'arrive pas à me connecter"
"je suis sur l'application mobile, j'ai un Iphone"
"Bonjour,  Je souhaite souscrire un abonnement malheureursement je ne peux ajouter mon moyen de paiement, il m'indique que mon numéro de TVA est INVALIDE. Pourtant c'est le bon. De ce fait, je ne peux souscrire mon abonnement et j'ai rendez-vous à 14h00 pour des photos. Urgent, j'ai besoin de vous! Merci de m'appeler au 06XXXXXXXX"
"Bonjour, J’ai tenté plusieurs fois de télécharger mon dernier album via l’interface web et je ne reçois jamais le lien pour télécharger les fichier…  Je viens de le faire via l’application mobile malgré tout mais je voulais vous informer d’un bug de ce côté."
je suis sur l'interface web
"Bonjour, j’ai réalisé des photos hier. Généralement c’est très rapide. Il sont aujourd’hui encore bloquées en cours de traitement depuis hier après-midi. Ça m’inquiète Pouvez-vous m’aider ?"""
android
Je ne retrouve pas pour modifier mes photos home Stading?
interface web
"Bonjour, Je suis entrain de teste votre logiciel cependant je n'arrive pas a enregistrer mes photos après avoir applique un home stagging ou gommage. j'ai un message d'erreur """"Une erreur s'est produite... Veuillez réessayer"""" Merci de bien vouloir m'aider Cordialement"
"Bonsoir,  J'ai souhaité prolonger mon abonnement mais votre site ne reconnait pas mon n° de TVA ...  Bien cordialement"
iphone ios
"Bonjour,  Je viens de modifier une photo en utilisant mas je n'arrive pas à enregistrer cette photo modifiée: message: une erreur s'est produite, veillez réessayer"
Bonjour  J'ai rencontré des problèmes de placement du lit. Pas cohérent à mon sens. Peut-on  y remédier ?  Cordialement
"Dans l'outil de home staging, est-il possible de choisir l'emplacement des meubles ?"
"Bonjour, Pourriez-vous me contacter car j'ai pris l'essai 15j proposé par Capifrance mais je n'ai pas accès aux solutions pour  modifier les photos comme je veux ( gomme magique, ciel bleu...)... De plus je prends mes photos d'un appareil photo et je corrige sur un ordinateur ! Bien cordialement. Valérie XXXX  06XXXXXXXX"
"Bonjour,  Après avoir suivi un Webinar hier avec quelqu'un de chez vous je souhaiterais teste votre solution.  Peut-on travailler sur PC ? Cela ne semble pas évident...  Merci d'avance de votre retour et excellente journée."
"Bonjour, Pourriez-vous me contacter car j'ai pris l'essai 15j proposé par Capifrance mais je n'ai pas accès aux solutions pour  modifier les photos comme je veux ( gomme magique, ciel bleu...)... De plus je prends mes photos d'un appareil photo et je corrige sur un ordinateur ! Bien cordialement. Valérie Dichiara  0603807157"
I wanted to register to do a photographic report and the application tells me that my email is not correct. I would need you to register me anyway. I would be very grateful. A greeting and thanks in advance. can you help please?
